Gene name	1-Control7D-1	12-Control14D-4	13-Bleo14D-1	15-Bleo14D-3	16-Bleo14D-4	17-Bleo14D-5	18-Bleo14D-6	22-Control21D-6	11-Control14D-3	32-Control28D-8
Enoph1	376.24261	408.0049	443.1879	534.7552	406.41641	440.1311	404.9407	438.984	340.32204	460.6172
Enox1	14.97332	13.4001	81.0754	114.3373	80.5387	52.83056	26.5721	29.27642	25.61728	20.36303
Enox2	365.0724	378.337797	257.5689	291.1895	309.994025	260.7962195	382.2884603	391.6192	393.0898005	370.645
Enpep	3307.59	3438.46	1394.63	1284.79	1258.28	1562.3	2584.33	3604.55	3347.57	3176.26
Enpp1	122.509	142.8425	365.9599	408.782	413.3512	446.91	407.334	154.358	130.5712	169.69521
Enpp2	1676.85821	1742.7406	1288.3487	1563.4634	1221.7988	1110.499	1337.5003	1714.98447	1629.474	1634.7734
Enpp3	57.01482	55.6439	28.9381	71.0305	54.6083	41.7316	39.6527	46.0112	37.4159	49.3945
Enpp4	1000.198	1111.002	794	957.842	712	913.001	1079.185	1187.539	1069.188	1154.002
Enpp5	1765.365	1701.09	958.967	1043.576	1068.613	1120.406	1475.581	1837.139	1747.142	1652.551
Enpp6	23.9338	38.1124	7.3553	16.8305	22.78326	24.07537	20.3915	37.2101	33	32.0661
Enpp7	0	0	0	0	0	0	0	0	0	0
Ensa	2276.997	2303.176	2119.538	2400.672	2062.648	2215.126	2396.953	2493.845	2117.698	2438.331
Enthd1	2	0	5	3	4	3	2	0	0	0
Entpd1	1971.8505	1916.0393	2712.0888	2970.4133	2234.9459	2920.2816	3249.7809	2466.9594	2181.6546	2436.225
Entpd2	231.966	221.979	167.272	204.961	161.73	210.479	227.704	201.431	258.726	176.629
Entpd3	102	94.9959	180.114	169.391	89.3191	73.2177	79	89	90.1858	139.966
Entpd4	1372.64292	1168.3948	1602.82851	2060.7369	1556.8504	1530.1121	1566.9482	1218.9582	1108.9712	1211.4374
Entpd4b	702.92892	621.0148	833.24251	1045.3369	843.3454	843.6491	809.0792	677.5472	611.4832	759.1214
Entpd5	1072.8204	1229.6583	851.6003	1135.848209	1174.7648	885.6489	1124.2586	1195.4251	1282.4037	1205.9039
Entpd6	251.769	236.859	287.28	205.248	203.242	216.851	285.637	266.707	248.902	264.521
Entpd7	152.59	173.924	305.272	358.393	267.626	297.942	234.499	179.642	140.501	183.548
Entpd8	2.548276	4.78126	0	1	1	1.79331	0	11.8037	0	1.48421
Entr1	596.19227	695.97165	782.9185	804.08483	661.246	673.5757	729.0912	750.4057	598.22443	792.70947
Eny2	649.629	640.26	705.218	792.857	567.668	609.061	667.458	675.929	591.678	645.015
Eogt	1319.66922	1522.00608	1469.48458	2103.4726	1318.68105	1612.68825	1701.94184	1639.42181	1521.10673	1654.79756
Eola1	167	203	223	223	226	198	202	195	191	208
Eomes	81.20162	118.46267	38.2628	20.06792	29.192	30.13051	53.26158	95.22471	68.2736	122.14319
Ep300	1804.96329	1809.35	2159.14	2674.83267	2232.42302	2407.4537	2444.67004	2013.8	1713.01	1819.52
Ep400	1756.58991	1843.79996	2333.6244	2965.818	2365.47427	2613.19784	2689.71601	2261.77108	1667.90095	1933.98644
Epas1	64702.7	68396.2	30929.9	40018.5	26982.7	36375.9	40535.4	73232.7	63645.3	71161.3
Epb41	2631.099642	2761.75999	2331.25602	2572.12812	1965.533142	2261.54589	2735.713976	2948.889671	2735.11475	3197.703635
Epb41l1	1138.7238	1151.3115	1297.2462	1326.1311	1126.7497	1070.7277	1245.6553	1130.7057	1149.8273	1078.4808
Epb41l2	5467.98344	5548.58844	5392.76794	5643.63611	4902.99716	5606.76498	6517.23881	6308.32644	5385.33432	5882.141401
Epb41l3	255.51562	191.83516	164.77633	248.8134642	101.0321	157.1712801	156.67997	172.29272	241.1756277	187.10121
Epb41l4a	555.701	589.26	390.366	368.969	264.109	393.495	478.306	578.141	464.096	626.66
Epb41l4b	1502.34679	1572.17085	690.1643	871.23214	706.62562	795.82922	1030.66954	1557.98102	1328.6222	1560.603453
Epb41l5	1347.33608	1387.93029	1168.6885	1486.51905	1038.7049	1389.976583	1917.5364	1511.28936	1324.7238	1333.61991
Epb42	12.2137	7.14893	4.85056	6.37345	21.1139	23.113	17.657	11.2316	11.4821	15.929
Epc1	1226.394	1403.069	1135.388	1177.02	965.092	1009.348	1127.765	1430.9617	1172.351	1455.226
Epc2	1072.001	997.0004	951.9995	1363.9956	950	945	1127.0043	1165.9965	915.0001	1089.0022
Epcam	1103.99891	1236.37822	1295.3381	1217.00167	994.6878651	1034.00468	1192.3539	1267.00191	1113.52537	1149.52024
Epdr1	357.261	367.893	334.133	416.6254	469	362.9406	450.367	374.716	324.0004	398.0386
Epg5	461.129	460.18	627.78	878.44	685.754	724.273	711.34	555.135	454.776	487.986
Epgn	1	0	5	1	3	1	5	1	1.999999	2
Epha1	978.0768	944.0158	303.01199	355.3666	264.73966	378.9347	549.59	828.7555	659.90748	833.587
Epha10	7.12902	5.0071	2	3	4.06948	1	5.02863	5.16466	4.37248	2.00005
Epha2	2860.5	2558.76	3491.61	3902.94	2674.75	3014.97	3406.06	3038.09	2502.41	2415.64
Epha3	124.95948	129	333.9463	502.85123	390.9561	518.756	380.962	149	144.946	156.99982
Epha4	30.87713	26.50343	53.32064	405.18796	425.0501	81.62109	415.44854	462.59087	325.67538	413.88966
Epha5	124.93686	115.27013	91.91014	116.4238	95.0188	89.54294	126.17588	117.25809	110.87595	100.9442101
Epha6	0	3.40991	3.41704	6.8625	8.49196	5	8	2.82104	1.41589	3.88257
Epha7	183.503	158.1032	132.2624	100.54454	127.31054	150.14232	207.22533	174.6395	176.21967	141.29379
Epha8	4	4	3	6	1	4	7	2	7	9
Ephb1	52	37	81	86.11966	76.37791	92.10582	63.7208	49	26.5465	25.2125
Ephb2	118.7534	113.5918	218.052	191.0551	202.6234	224.5302	148.1535	122.2399	118.35657	120.63022
Ephb3	1301.45129	1366.5218	1497.9129	1078.92579	973.68311	1329.50496	1532.6085	1221.7693	1231.40028	1344.84166
Ephb4	4236.002	4430.003074	3756.998096	3829.1551	3298.87364	3962.567	4670.0007	4408.995967	4353.3873	4478.998
Ephb6	310	303.607	145	151.003	148.283	182	206.187	282	256	297
Ephx1	4327.996	4387.00001	2803.9973	2708.9975	3423.9866	3234.00385	3961.0037	4353.0035	4215	4228.9979
Ephx2	81	93	147	164	139	175.0003	152	58	89	98.1194
Ephx3	47.2444	78.6895	34.2149	30.4859	52.8043	23.10357	21.48125	52.2829	67.986	56.7498
Ephx4	22	20	15.99999	12	25.00001	13	17.00002	46.99999	33.00002	46.99994
Epm2a	265.977	286	156	199.233	191	204.788	229	299	249	275
Epm2aip1	712.8674	637.4445	684.7591	951.077	739.1025	705.8191	814.4129	757.7096	746.9999	731.1392
Epn1	2915.9677	3141.0001	3520.9649	3674.814	2959.4478	3403.89116	3487.2445	3378.4565	2901.3068	3328.7932
Epn2	3142.2484	3041.20179	2194.70017	2810.308987	1999.32733	2364.757396	2699.533596	3276.86677	3058.53353	3339.392277
Epn3	1151.27	1363.41	1486.39	1942.96	1112.86	1401.55	1647.17	1405.57	1364.6	1355.9
Epo	0	0	0	0	0	0	0	0	0	0
Epop	112	173	142	205	134	119	97	134	141	133
Epor	94	113	86	62.99995	52	80	111	102	101	122
Epp13	0	0	1.61995	0	0	2	1.64234	0	2	0
Eppin	13	0	17	12	13	8	12	17	5	9
Eppk1	382.624	354.411	467.482	420.876	398.669	562.512	785.041	439.517	411.632	453.875
Eprs	1484.21	1655.59	2566.55	2751.97	2344.31	2263.28	2360.28	1796.37	1512.42	1666.97
Eps15	2210.17134	2429.9782	2189.30159	2456.37342	2037.4164	2000.73822	2291.28059	2570.2717	2216.26915	2369.48773
Eps15l1	1312.781	1264.327	1421.893	1186.909	1295.65	1415.701	1641.276	1516.981	1243.174	1539.25
Eps8	1021.73343	1029.33841	1571.2248	1790.127	1368.13831	1209.906	1224.39818	985.99998	976.40838	902.57935
Eps8l1	1007.80917	953.57328	683.59394	565.64356	490.31725	702.27211	990.21379	992.41071	799.36897	1038.94945
Eps8l2	1669.09	1851.52	1387.82	1864.78	1202.24	1490.61	1652.04	2089.41787	1713.46	2005.06
Eps8l3	29	34	22	44	29	43	45	31	31	21
Epsti1	257.99968	256.00041	476.999614	278	439.00048	348.999561	377.0004635	281.99989	233.000401	348.0004
Epx	0	1	1	0	2.37058	0	1	0	0	0
Epyc	0	0	0	0	0	1	0	0	0	0
Eqtn	7	3	12	13	10	9	6	13	7	6
Eral1	220.116	250.254	189.662	175.636	125.528	243.772	261.916	279.009	215.038	276.132
Erap1	1500.8802	1596.67363	1716.74429	1619.92785	1653.4969	1714.78812	2082.44628	1718.01	1603.17551	1645.41297
Eras	0	0	0	0	0	0	0	0	0	0
Erbb2	863.159	1009.6	909.578	995.481	684.064	793.963	1100.16	849.394	945.078	941.271
Erbb3	1405	1397	963	988	819	1063	1334	1457	1218	1305
Erbb4	10	16	16	15	4.314621	12.97492	13	20.00001	8	10
Erbin	2982.00415	3043.997	3058	4709.901	3383.3441	3289.26343	3873.544	3438	3196.999	3183.5596
Erc1	660.25081	697.1524649	899.203374	1058.042566	749.3271058	890.95556	1169.350841	847.79075	750.2578781	731.16929
Erc2	36.3354	71.34438	59.65100014	90.25609	94.04479	122.7405	50.43976	62.283067	42.83	56.0697
Ercc1	188.7022	179.75453	205.683	247.168	209.8807	217.3951	186.5999	166.5669	196.7571	172.1643
Ercc2	771.6939271	702.54	785.9082	740.162651	620.238923	672.5665	691.5975	973.8176	715.6017	820.629
Ercc3	765.073	825.852	838.12	921.344	791.161	905.531	973.597	829.506	790.975	900.686
Ercc4	377.418	319.402	380.29	424.628	345.196	379.649	443.102	387.365	333.549	396.868
Ercc5	437.444	528.454	618.254	875.547	651.405	615.321	649.307	661.21	566.356	566.745
Ercc6	382.416	420.192	436.325	646.766	484.39	512.089	549.146	501.441	373.217	423.296
Ercc6l	47.4646	37.4332	152.999	118.526	91.5492	94.7984	130.283	49	47.6952	38.0432
Ercc6l2	26.44724	16.75869	141.8355	170.8462	67.06978	182.3919	125.3486	35.14968	19.06688	27.91309
Ercc8	75.6369	104.25142	60.6089	86.7905	73.4744	65.3078	69.1092	98.6715	64.3966	71.976
Ereg	22	12.073	489	721.707	479.973	179	153.679	23	25.0964	29
Erf	1257.999	1253.996	1939.003	2003	1485.997	1744.999	1901.997	1349.002	1080.0002	1147.9965
Erfe	13.2157	8.14209	61.6671	67.8005	27.3836	38	32.9429	13	8.90076	9
Erfl	1	2	0	1	0	4	2	0	1	1
Erg	3015.0055	3127.9871	1897.986	2191.0052	1786.380551	2038.9222	2496.996	2998.6053	2646.0934	3126.99948
Erg28	315.79823	343.876	358.11581	399.0661	305.33926	336.209	413.23188	384.7821	318.32458	295.79934
Ergic1	1417.30355	1446.7045	1845.0118	2051.05102	1540.17866	1627.90822	1747.0084	1646.410326	1506.275273	1536.19875
Ergic2	638.3614	597.5641	749.54303	745.954	665.5975	670.8376	760.00371	718.8238	629.1188	656.2772
Ergic3	2129.8606	2002.93296	2143.5612	2186.935	2008.1964	2169.5488	2444.3363	2183.909	2000.6313	2137.74156
Erh	646.68923	759.97238	1265.8172	1260.4812	965.0151	985.5051	1068.7358	847.89825	691.34757	730.6741
Eri1	524	554.975	847	856.99462	637.00036	638	788.99952	527.00006	526	529.00025
Eri2	101.85026	127.70329	109.96516	226.5067	99.55478	95.7144	161.41884	92.04286	104.877	9.17867
Eri3	824.56032	910.086	994.63817	1140.75422	906.94525	910.90738	978.88424	899.5921	798.22621	940.34137
Erich1	206.36414	238.43297	218.6148	216.21107	174.33548	151.38	236.853	221.09104	224.86	232.13491
Erich2	89.4346	137.27943	98.86416	112.1097	92.11473	93.841	114.42687	125.50172	119.34697	178.87995
Erich3	374.00917	405.04672	579.13839	552.02753	481.9996	427.024	383.00052	460.6673	397.02857	454.7373
Erich4	0	0	0	0	0	0	1	0	0	0
Erich5	3.045	4.00679	1.00257	13.0302	9.02908	7.02084	6.00991	7.51915	3.00467	2.00723
Erich6	5	4	5	9	7	2	7	3	3	4
Erich6b	0	0	0	1	2	1	0	0	0	0
Erlec1	600.456	578.463	818.612	1125.03	757.452	792.097	779.434	574.264	547.7	568.049
Erlin1	566.8803	588.9392573	799.7523	791.3959	638.9227	662.7912	818.7119	675.3521	549.7565	608.8464
Erlin2	1292.04624	1314.54727	1800.52532	1971.64631	1771.26537	1860.39226	2152.40358	1544.17618	1511.61996	1473.53518
Ermap	22.4148	12.04748	21.8133	26.68816	32.4482	18.80732	28.16622	22.22143	16.89639	29.3385
Ermard	307.6184	307.4782	308.3805	445.8958	392.2953	365.98086	332.17371	264.6925	275.5572	298.5916
Ermn	0	1.08463	1.02448	0	1.70463	1.13496	0	0	1.0777	1.07521
Ermp1	414.19	413.442	479.885	306.396	345.681	283.199	406.204	388.796	404.032	540.617
Ern1	1354.6263	1356.4871	1803.0806	1960.3104	1656.9997	1511.11029	1717.5067	1531.4994	1371.50704	1485.2671
Ern2	5.96135	13	8	4	0	11.7633	20.4219	8.12797	6	9
Ero1a	1070.29	1087	1389.9449	1618.88098	1203.6173	1224.065	1353.6704	1246.42	1158.62	1175.5
Ero1b	852.8807	876.0828	620.91872	589.2102	667.0161	591.1036	786.2566	915.6853	796.05109	902.4053
Erp27	4.8524	2	6.8933	4.6853	2	3	7.4899	0	2	6.8796
Erp29	956.666	921.157	1498.242	1226.091	1270.004	1375.927	1383.662	1087.279	932.181	1015.122
Erp44	1302	1264.96	1402.37	1547.08	1210.4	1289.33	1459	1380.75	1251.98	1257
Errfi1	5062.786	5360.617	5154.933	5909.363	4507.453	3496.2907	3795.831	7750.24	5328.6284	5047.365
Erv3	1.00604	1.00354	3.00941	4.06478	3.08591	0	0	1.01113	2.0328	3.00554
Esam	4355.38046	4547.56412	3412.913	3495.43735	2714.7585	3470.04417	4500.6268	5048.17453	4575.45562	4676.6775
Esco1	383.0762	548.9611	500.3525	519.1055498	466.9443	426.2756726	364.5138	550.712	376.8638	391.8047
Esco2	14	35.3558	95.6911	89.128	72.5631	87.743	185.412	27.9151	33	19.8916
Esd	1208.4057	1309.82295	2821.8966	3510.76927	2637.6816	1905.1859	2041.4941	1397.75909	1262.99522	1377.623
Esf1	403.848	401.971	466.236	573.478	414.623	374.905	436.39	449.82	402.706	389.561
Esm1	383.062	290.995	90.0153	131	99	155.969	160	356.065	251	353.064
Esp1	0	0	0	0	0	0	0	0	0	0
Esp15	0	0	0	0	0	0	0	0	0	0
Esp16	0	0	0	0	0	0	0	0	0	0
Esp18	0	0	0	0	0	0	0	0	0	0
Esp22	0	0	0	0	0	0	0	0	0	0
Esp23	0	0	0	0	0	0	0	0	0	0
Esp24	0	0	0	0	0	0	0	0	0	0
Esp3	0	0	0	0	0	0	3	0	0	0
Esp31	0	0	0	0	0	0	0	0	0	0
Esp34	0	0	0	0	0	0	0	0	0	0
Esp36	0	0	0	0	0	0	0	0	0	0
Esp38	0	0	0	0	0	0	0	0	0	0
Esp4	0	0	0	0	0	0	0	0	0	0
Esp5	0	0	0	0	0	0	0	0	0	0
Esp6	9.239021307	3.724310786	5.162229311	5.384164127	1.392312866	4.074756228	5.512444554	5.101650376	12.50320107	7.930723783
Esp8	0	0	2	0	0	0	0	0	0	0
Espl1	87.4037	138.35593	527.49361	430.108	318.66209	390.99185	520.21339	95.875328	139.13754	141.06794
Espn	227.7207	219.93683	104.8021	122.1510601	123.4603315	151.2416	147.48023	205.3026	222.4501522	222.57834
Espnl	33	23.482	15	18	22.99999	15	12	44.99996	16	25
Esr1	35.5637	25	43.4063	45.24082	56.5321	35.65910235	46.2931	34.6272	41.4218	47
Esr2	79.30280148	57.80663	14.37770008	37.75020002	19.9976	35.97968	27.65902	78.6007	59.42199114	56.4584
Esrp1	597.00015	614.9993	552.0003	868.0006	669.99969	622.0002201	798.99997	666.00068	496.00067	606.9998796
Esrp2	1021.5562	1037.8275	922.5905	950.3125	834.1475	945.83	1130.7278	1034.0282	950.9794	1114.223
Esrra	639.9551	711.9108	874.8641	855.77622	685.28504	829.09524	881.1985	700.6811	692.8577	820.93361
Esrrb	9	6	4	1.999996	5	3	3	4	5	3.999998
Esrrg	55.94350006	51.00003	25.00000119	32.99995752	35.99993747	32.99998012	57.00000007	46.99999	53	46.93570009
Ess2	490.484	515.73	574.909	576.53	459.4899	487.2267	545.65	487.38	424.256	557.171
Esx1	0	0	0	1	0	0	0	0	0	0
Esyt1	2975.1	3280.62	4725.03	4301.54	3696.93	4133.91	4506.7	3334.98	2947.01	3679.42
Esyt2	885.6195	883.2149	2052.66	2876.5784	2086.9621	2164.8208	2318.5552	900.8892	1087.3659	1107.9363
Esyt3	365.566	346.547	123.889	201.683	173.7	135.418	155.647	368.884	319.604	364.216
Etaa1	216	189	220	227.978	183	223	255	214	189	221
Etd	0	0	0	0	0	0	0	0	0	0
Etf1	2243	2206	3579	4442	3072	2942	3293	2575	2272	2355
Etfa	1605.71	1673.74	1741.71	1740.81	1627.38	1456.63	1817.48	1736.39	1610.73	1835.05
Etfb	1173.528	1125.413	1374.198	1171.129	969.723	1157.943	1460.655	1241.76201	1155.872	1323.84072
Etfbkmt	397.99952	374.00047	325	530.9996	403.99965	340.0002	331.99986	440.0004	413.9998	439.0002
Etfdh	850.336	902.06801	962.47532	1015.15956	827.766	935.1735	1027.88357	924.0358	903.0201	908.059
Etfrf1	344.1579	356.48309	376.9808	445.47197	324.96554	362.45553	397.13067	311.20661	352.93328	390.60772
Ethe1	183	160	213	187	158	183	225	184	126	189
Etl4	1279.94926	1362.66167	826.89207	1043.906636	982.25491	1115.403596	1358.63779	1420.41096	1222.72718	1211.554947
Etnk1	2195.88688	2208.88736	2172.47626	2396.41859	2069.60621	2080.83076	2517.72051	2543.86083	2403.92992	2485.82781
Etnk2	17	12	22.6661	11	16	22.5493	13.3568	11	5.28499	6.59874
Etnppl	1	0	8	9.000001	5.00586	6.11095	0	0	0	7
Ets1	6610.26222	6871.69633	4024.9367	3471.71876	3764.32693	3691.43424	5638.6501	6859.58602	6490.9464	6788.0016
Ets2	5679.72	5506.9393	4354.55569	3871.69	3698.92	3180.61366	4190.11704	5877.38	5112.99369	5212.12
Etv1	369.7899201	360.5687252	306.4381	435.872195	376.13971	364.50969	357.616196	397.092641	380.10227	376.62923
Etv2	0	0	0	0	0	1	0	0	0	0
Etv3	1361.1597	1295.28541	1543.429	1273.7962	1485.1651	1420.2443	1806.0623	1491.35938	1325.3121	1325.4494
Etv3l	0	0	1.00576	0	0	0	0	1.00211	0	0
Etv4	6.90915	11.6013	190.3636	319.84346	152.1745	116.8996	113.8701	5.95084	6.139878366	5.98549
Etv5	3245.8684	3601.3506	1520.0838	1401.7189	1297.08	1547.71401	2665.26109	3031.50456	3553.9263	3208.10879
Etv6	698.99967	770.00002	1322.21857	1414.70946	1178.35425	1260.77078	1395.0142	814.00046	757.99998	796
Eva1a	133.99966	193	184	254.88042	202	219.87353	245.947	168	176	162.712
Eva1b	1117	1138	852	1027	940	1079.001	1090	1095	1135	1185
Eva1c	207.8431	171.96283	151.585548	169.27126	145.7135309	159.41475	220.393	203.21238	203.69102	208.13728
Evc	568.71458	535.94353	450.18408	570.98757	476.8924	474.44526	553.11023	583.89187	546.46471	565.16343
Evc2	561.326	493.449	522.471	658.018	465.513	452.095	508.806	538	475.85	536.673
Evi2	16.4554	71.2678	0.567724	60.6769	1.91395	68.551	0.0795837	0.134364	11.6268	169.308
Evi2a	248.82639	248.8329	647.3511	423.3959	588.5978	507.34761	558.94866	280.7554	301.80467	362.33229
Evi2b	386.259	517.619	702.768	396.881	475.989	479.63	625.15	474.128	426.005	831.434
Evi5	812.38882	904.3423	1003.52556	1637.82695	1109.47265	1063.997	1070.7585	952.39749	930.03188	861.8002
Evi5l	701.8359	669.3226	667.1972	696.36139	554.73994	756.3751	687.7502	670.6922	644.20033	660.1376
Evl	1067.5212	1088.4212	1184.237301	888.3403016	1003.1591	1059.3367	1233.2451	1039.3845	1125.021144	1183.185514
Evpl	614	593	455	457	388	470	465	573	532	596
Evx1	0	0	0	0	0	0	0	0	0	0
Evx2	1	0	0	0	0	0	2	0	1.999998	1
Ewsr1	3539.76109	3645.998	3976.6833	4290.6288	3714.784009	3492.96459	4176.88926	3929.00721	3376.61149	3921.756214
Exd1	73.5446	72.9655	51.0254	72.1116	68.8948	86.2873	65.26456	83.18324	59.8824	89.1069
Exd2	523.861	518.714	332.985	312.57563	341.823	360.88758	462.42574	532.55093	487.561	538.622
Exo1	27.179	16.028266	72.58763	89.08843	51.3987	60.18783	99.664	26.486328	15.010964	36.0169
Exo5	158.99999	182.00024	188.0003001	186.9997	194.00003	176.99988	199.9996	178.99966	176.0003	152.9996001
Exoc1	612.3818	524.8719	829.26726	930.56721	811.76246	733.51399	803.9139	678.365	597.07445	674.78
Exoc2	1013.641	1088.443	1251.579	1461.233	1189.493	1155.107	1348.001	1118.4477	987.427	1105.192
Exoc3	972.8918	1031.4819	918.6464	945.4977	893.7451	948.2874	1133.0875	1151.6997	915.95661	1002.3011
Exoc3l	503.965	529.022	242.731	255.18	205.797	363.332	453.914	538.203	579.817	466.978
Exoc3l2	95	92	358.0001	495.0000001	271.0005	222.00018	163.00023	87.00001	103	65
Exoc3l4	453.90048	431.07017	440.24323	341.413283	338.0067	421.56785	461.42073	429.1138415	426.30884	501.64194
Exoc4	1013.98235	1033.14392	1734.9269	1726.3157	1682.08501	1831.1779	2146.5575	1183.8305	1067.1022	1158.7174
Exoc5	910.987	971.954	1492.629	2317.49	1405.719	1317.758	1442.251	992.071	967.723	1002.99
Exoc6	765	753	580	611	625	557.99943	690.0001	837	767.9999	788.9996
Exoc6b	839.806	741.453	766.11	968.49	798.658	814.906	936.595	1013.87	807.875	873.995
Exoc7	967.10102	1023.74323	924.40754	918.58769	779.68704	929.5583	1052.60885	1056.61687	903.13381	1090.80496
Exoc8	594.034	668.32	641.915	616.621	580.379	670.492	868.696	752.003	590.668	682.354
Exog	53.4543	48.9918	64.9529	55.15	24.8054	46.5531	57.681	49.394	47.3537	57.8529
Exosc1	265.6929	283.9494	325.7072	306.6672	279.8082	222.2429	294.1973	325.8579	249.9697	280.8424
Exosc10	1054.972	899.1135	978.708	867.0993	858.2371	826.2484	895.2119	1081.293	888.516	1236.977
Exosc2	248.53553	229.234	287.69671	322.334	265.973	230.257	245.92567	290.234	215.028	293.687
Exosc3	326.42664	404.431	474.95	344.438	303.888	341.158	383.101	437.10541	423.853	378.90692
Exosc4	383.05	347.049	442.502	465.138	379.645	375.159	446.912	368.607	369.557	351.583
Exosc5	247.69224	289.05209	279.45293	315.783	220.42966	276.115	281.03777	295.9038	240.943	276.017
Exosc6	0	0	0	0	0	0	0	0	0	0
Exosc7	620.537	602.177	383.338	327.855	332.98683	325.611	472.197	667.924	625.219	714.367
Exosc8	204.127	233.94998	300.21	353.73645	289.422	228.5135	267.0035	223.6081	215.113	234.655
Exosc9	307.13995	351.95216	506.26243	593.01964	419.59434	372.80716	478.17876	347.99754	292.42291	358.434
Exph5	125	103	85	198	138	192	150	99	105	105
Ext1	983.368	1129.58	2200.76	2554.33	2115.84	2282.01	2138.81	1133.09	1032.51	1014.85
Ext2	2230.40657	2191.86498	2791.90906	2818.38626	2376.61658	2646.13023	2896.58105	2502.35572	2190.78448	2369.03545
Extl1	78.5887	89.2107	36	22.7574	29.7739	41.2068	38.8784	69.9991	68.5132	78.8481
Extl2	339.99971	329.708	413.522	563.358	452.9995	452	420.9998	324.00062	366	398
Extl3	2743.76	2890.9491	3273.38	3584.35	2962.0569	3004.97	3224.51	3023	2900.2938	2846.95
Eya1	111.9798	119.1501	48	52.12237	38.15003	50.91450003	76.24519	108.3853	108.224	101.0001
Eya2	889.075	952.41388	957.1157	1241.22	739.0725	1002.393	948.363	992.6885	793.973	981.3998
Eya3	891.0878	955.61032	910.3199	885.9304	779.224	904.8881	921.3254	987.97224	907.2507	924.98006
Eya4	7	3	35.00003	34	48.00003	38.99995	9	4	3	6
Ezh1	1908.4947	1811.5801	1202.774	1153.0935	1159.4338	1228.6966	1438.8948	2076.4402	1677.4713	1925.3478
Ezh2	214.25821	222.6266	448.27925	421.7974	313.6841	357.3994	482.4691	217.92388	182.2054	230.4249
Ezhip	0	0	0	0	2	0	0	0	0	1
Ezr	7686.6	7768.16	6720.67	6650.23	5513.41	5685.5	6850.8	8168.77	7363.03	7979.42
F10	147.3059	127.9838	639.5316	400.27288	460.86549	421.1225	396.6474	174.89027	175.44386	239.93852
F11	6	3	6.03936	5	1	4	5	5	9	3.62992
F11r	3982.97	4088.52	3669.47	3939.81	3156.66	3815.78	4301.57	4311.1	3749.7	4048.82
F12	0	4	4	3	5	3	2	9	0	9
F13a1	476.0398	622.41	2394.672	4340.21	2394.597	1415.8	883.423	548.4720021	457.653	1156.4592
F13b	0	0	1	0	0	0	0	0	0	0
F2	4	8	10.0000026	10	11	15.00004015	21	5.000000682	10	3.000002748
F2r	6316.86	6477	9405	15358	11040	10327	10138	6623	6597	6969
F2rl1	379.929	464.002	366	540	371	447.001	519	509	367	505.915
F2rl2	36.8546	34.1453	38	41.2291	53.2533	27.411	52	25.8727	41.7562	47.2948
F2rl3	14.7688	6.95248	14.9304	22	17.2291	11	24.9479	10	10.5661	18
F3	896.8079	1124.9	2762.38552	4081.88559	2084.91534	1919.68199	1762.13815	1112.33	945.807	1176.11942
F5	113	133	115	182	143	211	199	114	83	167
F7	339	491	1526	1348	1289	1718	1513	449	488	455
F8	29.99996	22	46	42.99999	49	59	75.00004	35.99998	36	40.00002
F830016B08Rik	29	25.2166	51.9569	30.1038	53.1784	38.0854	38.2729	30.1555	39	33.2213
F830045P16Rik	0	0	3	1	1	0	0	0	0	0
F8a	244	243	178	181	156	204	232	259	196	251
F9	4.03514	5.05415	9.45753	5.22776	15.1718	5.0362	6.03792	2.02814	5.00654	3.07034
Fa2h	2.59176	11	0	1	0	0	4	8	4.11941	4.76314
Faah	399.137	473.054	188.086	158.283	225.124	190.292	300.866	538.058	409.859	491.762
Faap100	421.48	407.17	357.878	347.818	272.048	358.219	444.562	390.197	392.476	378.049
Faap20	413.994	406.1675	356.55022	326.7315	289.43815	323.2363	422.3144	347.0403	448.3663	468.0627
Faap24	102.84846	100	172.0003	165.21144	115.1256	99.37173	149.61259	99.3107	99.99998	139.8632
Fabp1	34	53	4	1	4	6	7	59	60	72
Fabp12	51.99996	32.99998	2	13	4	2	10	43.00004	40	44.00000102
Fabp2	1	1	2	0	1	2	2	4	1	0
Fabp3	299.344	275.562	108.873	249	141	156.012	236	313	282.684	362.759
Fabp4	249.511	287.642	463.517	313.495	214.493	234.55	269.307	253.927	228.623	255.816
Fabp5	1295.72	1317.6	1519.78	929.836	1004.2	1507.73	1759.57	1276.56	1013.21	1207.31
Fabp6	0	0	0	0	1	0	2	0	0	0
Fabp7	88	169	228	161	108	148	114	126	98	124.00021
Fabp9	0	0	0	1.77983	0	0	0	0	0	0
Fadd	433.448	337.046	373.739	339.115	336.987	388.083	448.49	364.348	388.117	365.878
Fads1	3324.8989	3663.2348	2933.7142	3105.6786	2874.88498	2733.583	3492.6275	3606.83706	3315.5825	3469.1053
Fads2	1968.36418	2108.11	1956.27	1977.5	2113.85	2236.38	2522.88821	2087.9	1971.28	1951.37
Fads2b	1	3	4	11	7	3	4	1	1	0
Fads3	2711.598	2764.08451	3346.17836	4400.96441	2786.58168	3285.77	3400.46819	2947.4266	2594.4122	2967.4322
Fads6	150.05	124	136.08	113	126.265	102	110	129.812	141.206	144.15
Faf1	638.763	748.372	857.826	1055.94	697.327	683.709	748.523	730.496	691.305	740.059
